,p_w,p_c,pop_size,Error
0,0.1,1.5,50,2112961.8782287906
1,0.3,1.5,50,2111342.7721636565
2,0.5,1.5,50,2113555.0179916257
3,0.7,1.5,50,2111728.946245563
4,0.9,1.5,50,2114325.190067257
5,0.3,1.3,30,2115140.2567165797
6,0.3,1.5,30,2112980.2237969036
7,0.3,1.7,30,2116864.1738661183
8,0.3,1.9,30,2116036.0082072928
9,0.3,2.1,30,2115852.415818406
10,0.3,1.5,10,2118219.236174637
11,0.3,1.5,20,2112638.872258813
12,0.3,1.5,30,2114376.165173328
13,0.3,1.5,40,2114054.7579502547
14,0.3,1.5,50,2112891.3496079734
