,p_c,p_m,pop_size,Error
0,0.95,0.05,10.0,2121444.573488556
1,0.95,0.05,20.0,2124436.2427658304
2,0.95,0.05,30.0,2114826.767994943
3,0.95,0.05,40.0,2117313.38641969
4,0.95,0.05,50.0,2115144.2656643316
5,0.9,0.01,30.0,2123645.2705742354
6,0.9,0.02,30.0,2123499.9722453016
7,0.9,0.03,30.0,2120775.1312571014
8,0.9,0.04,30.0,2121979.379202669
9,0.9,0.05,30.0,2122958.417319628
10,0.75,0.03,30.0,2125123.860271719
11,0.8,0.03,30.0,2120338.391793108
12,0.85,0.03,30.0,2121402.1800429956
13,0.9,0.03,30.0,2122199.377178592
14,0.95,0.03,30.0,2125497.8423349136
