,p_w,p_c,pop_size,Error
0,0.1,1.9,20.0,2076499.5151150287
1,0.3,1.9,20.0,2077382.2929194968
2,0.5,1.9,20.0,2077452.891044585
3,0.7,1.9,20.0,2077104.623519692
4,0.9,1.9,20.0,2077188.5786465672
5,0.1,1.9,10.0,2076637.438025905
6,0.1,1.9,20.0,2076970.671640562
7,0.1,1.9,30.0,2076465.055078328
8,0.1,1.9,40.0,2076890.6200910932
9,0.1,1.9,50.0,2077060.5990659774
10,0.1,1.3,30.0,2077277.896708793
11,0.1,1.5,30.0,2076661.8287599038
12,0.1,1.7,30.0,2077167.0718668401
13,0.1,1.9,30.0,2077301.97256181
14,0.1,2.1,30.0,2076809.7245162653
