,p_c,p_m,pop_size,Error
0,0.9,0.01,30.0,2149616.0779298334
1,0.9,0.02,30.0,2143601.866680516
2,0.9,0.03,30.0,2147523.759144013
3,0.9,0.04,30.0,2134984.8882920034
4,0.9,0.05,30.0,2145540.650149987
5,0.75,0.04,10.0,2148712.554078516
6,0.75,0.04,20.0,2135533.305769916
7,0.75,0.04,30.0,2143513.4653589525
8,0.75,0.04,40.0,2141903.8753017155
9,0.75,0.04,50.0,2139312.323424841
10,0.75,0.04,20.0,2146128.4179534377
11,0.8,0.04,20.0,2144147.5742107057
12,0.85,0.04,20.0,2144026.8763233838
13,0.9,0.04,20.0,2143824.0254241587
14,0.95,0.04,20.0,2139375.6218381394
