,p_w,p_c,pop_size,Error
0,0.1,1.9,10.0,2124952.8797498727
1,0.3,1.9,10.0,2124463.2709175805
2,0.5,1.9,10.0,2124788.672115191
3,0.7,1.9,10.0,2123541.961289284
4,0.9,1.9,10.0,2124586.36571274
5,0.7,1.3,10.0,2124184.5618334636
6,0.7,1.3,20.0,2124005.140742883
7,0.7,1.3,30.0,2123809.253456027
8,0.7,1.3,40.0,2123491.2270094906
9,0.7,1.3,50.0,2123295.3296507522
10,0.7,1.3,50.0,2123399.12509997
11,0.7,1.5,50.0,2123496.4370550835
12,0.7,1.7,50.0,2122759.227744806
13,0.7,1.9,50.0,2123230.0382186943
14,0.7,2.1,50.0,2123495.9114537537
