,p_c,p_m,pop_size,Error
0,0.75,0.01,40.0,956617.1095015365
1,0.75,0.02,40.0,956381.2660472984
2,0.75,0.03,40.0,956445.0920267291
3,0.75,0.04,40.0,956829.1532720617
4,0.75,0.05,40.0,950059.2964077902
5,0.8,0.05,10.0,961783.0130796824
6,0.8,0.05,20.0,960464.6904385305
7,0.8,0.05,30.0,959211.2807567297
8,0.8,0.05,40.0,956730.912127915
9,0.8,0.05,50.0,955729.0669192158
10,0.75,0.05,50.0,954150.810409549
11,0.8,0.05,50.0,954605.5476234289
12,0.85,0.05,50.0,958005.2149641035
13,0.9,0.05,50.0,958163.7630484062
14,0.95,0.05,50.0,953037.6715728117
