,p_c,p_m,pop_size,Error
0,0.9,0.03,10.0,1592635.5561937133
1,0.9,0.03,20.0,1592733.457147732
2,0.9,0.03,30.0,1588228.2476661308
3,0.9,0.03,40.0,1591271.0845311668
4,0.9,0.03,50.0,1592678.986018601
5,0.75,0.04,30.0,1590737.874848431
6,0.8,0.04,30.0,1588052.5965706669
7,0.85,0.04,30.0,1589264.3975462709
8,0.9,0.04,30.0,1581233.857128015
9,0.95,0.04,30.0,1593140.845329048
10,0.9,0.01,30.0,1594900.8092237934
11,0.9,0.02,30.0,1591852.5952524939
12,0.9,0.03,30.0,1590590.6114220507
13,0.9,0.04,30.0,1592999.6936323137
14,0.9,0.05,30.0,1591499.1526913287
