,p_c,p_m,pop_size,Error
0,0.75,0.01,20,2119502.553345994
1,0.75,0.02,20,2120642.931381501
2,0.75,0.03,20,2122235.4299690984
3,0.75,0.04,20,2119306.9376689657
4,0.75,0.05,20,2117787.23735165
5,0.75,0.05,30,2117327.2640041723
6,0.8,0.05,30,2118478.58626585
7,0.85,0.05,30,2117595.356703552
8,0.9,0.05,30,2116625.453899402
9,0.95,0.05,30,2119308.9477942465
10,0.9,0.05,10,2116996.27975562
11,0.9,0.05,20,2115327.510598958
12,0.9,0.05,30,2118330.0646120906
13,0.9,0.05,40,2117294.4333898015
14,0.9,0.05,50,2114695.2189295813
