,p_c,p_m,pop_size,Error
0,0.9,0.01,10,1592234.6369760192
1,0.9,0.02,10,1596341.695214439
2,0.9,0.03,10,1595625.0064232664
3,0.9,0.04,10,1595790.493246086
4,0.9,0.05,10,1594021.297396436
5,0.75,0.01,40,1593499.4884546318
6,0.8,0.01,40,1595898.9234225857
7,0.85,0.01,40,1592990.2586286021
8,0.9,0.01,40,1596923.2112762297
9,0.95,0.01,40,1594759.8711568248
10,0.85,0.01,10,1596890.9915094026
11,0.85,0.01,20,1592293.0723232657
12,0.85,0.01,30,1594936.2373888274
13,0.85,0.01,40,1594889.9677153626
14,0.85,0.01,50,1592448.2316643926
