,p_w,p_c,pop_size,Error
0,0.1,1.9,30,2123608.7231592354
1,0.3,1.9,30,2124672.028653462
2,0.5,1.9,30,2120679.4756996967
3,0.7,1.9,30,2122231.8642344815
4,0.9,1.9,30,2122185.5318273604
5,0.5,1.3,30,2123058.464087776
6,0.5,1.5,30,2121505.688793394
7,0.5,1.7,30,2120091.000451014
8,0.5,1.9,30,2122322.939736545
9,0.5,2.1,30,2122750.7859139536
10,0.5,1.7,10,2125894.7496224544
11,0.5,1.7,20,2121794.006574998
12,0.5,1.7,30,2125413.5167529313
13,0.5,1.7,40,2122826.3356228108
14,0.5,1.7,50,2120525.3775768657
