,p_c,p_m,pop_size,Error
0,0.75,0.01,50.0,2112943.003591037
1,0.75,0.02,50.0,2116426.126353483
2,0.75,0.03,50.0,2113003.25022098
3,0.75,0.04,50.0,2104440.1887030657
4,0.75,0.05,50.0,2110175.0312822675
5,0.8,0.04,10.0,2117484.884710034
6,0.8,0.04,20.0,2111405.5140934237
7,0.8,0.04,30.0,2117994.1365010054
8,0.8,0.04,40.0,2114421.6407546494
9,0.8,0.04,50.0,2113481.6961589307
10,0.75,0.04,20.0,2113135.1986057186
11,0.8,0.04,20.0,2113600.875469856
12,0.85,0.04,20.0,2118428.587218266
13,0.9,0.04,20.0,2118890.3437572736
14,0.95,0.04,20.0,2111065.8319333675
