,p_c,p_m,pop_size,Error
0,0.9,0.05,50.0,43934.93254479952
1,0.8,0.05,20.0,48222.066881372775
2,0.95,0.05,40.0,52396.94313779995
3,0.95,0.05,50.0,57483.00182139498
4,0.95,0.03,30.0,90664.10412754575
5,0.95,0.03,50.0,569806.3049628342
6,0.75,0.05,10.0,1205299.2186586289
7,0.85,0.05,40.0,17961.799630762704
8,0.9,0.04,50.0,32261.807549308185
9,0.95,0.04,20.0,40150.72057379704
