,p_c,p_m,pop_size,Error
0,0.95,0.01,40,2126141.6854695952
1,0.95,0.02,40,2115327.306027602
2,0.95,0.03,40,2120671.059069843
3,0.95,0.04,40,2114995.17670635
4,0.95,0.05,40,2116940.81179441
5,0.75,0.04,20,2116713.5078109913
6,0.8,0.04,20,2125043.3877247158
7,0.85,0.04,20,2119669.912461048
8,0.9,0.04,20,2123173.5704156477
9,0.95,0.04,20,2108734.603210052
10,0.95,0.04,10,2119873.8204722544
11,0.95,0.04,20,2118225.1148306383
12,0.95,0.04,30,2122394.004609352
13,0.95,0.04,40,2123628.2883696137
14,0.95,0.04,50,2118299.2564195287
