,p_c,p_m,pop_size,Error
0,0.85,0.01,50,2116457.332362368
1,0.85,0.02,50,2113784.106841763
2,0.85,0.03,50,2106682.6829361515
3,0.85,0.04,50,2111543.566239395
4,0.85,0.05,50,2109997.1351264846
5,0.75,0.03,20,2117580.088241257
6,0.8,0.03,20,2111030.412405334
7,0.85,0.03,20,2117246.89189623
8,0.9,0.03,20,2114956.8530307356
9,0.95,0.03,20,2115401.4354314967
10,0.8,0.03,10,2111856.506042624
11,0.8,0.03,20,2113801.225150341
12,0.8,0.03,30,2116641.6945806863
13,0.8,0.03,40,2101765.502357554
14,0.8,0.03,50,2109925.0192401204
