,p_w,p_c,pop_size,Error
0,0.1,1.7,40.0,2110196.98780743
1,0.3,1.7,40.0,2109770.0471618106
2,0.5,1.7,40.0,2109466.7482243036
3,0.7,1.7,40.0,2110186.9767669654
4,0.9,1.7,40.0,2109850.68071156
5,0.5,1.7,10.0,2110452.961447418
6,0.5,1.7,20.0,2110338.9802653184
7,0.5,1.7,30.0,2110621.7157007107
8,0.5,1.7,40.0,2110093.1527798437
9,0.5,1.7,50.0,2109831.741154478
10,0.5,1.3,50.0,2109496.4261829723
11,0.5,1.5,50.0,2109888.2685692916
12,0.5,1.7,50.0,2109808.07732507
13,0.5,1.9,50.0,2109984.2691902616
14,0.5,2.1,50.0,2109454.6860279716
