,p_c,p_m,pop_size,Error
0,0.8,0.05,10.0,2110183.4220951525
1,0.8,0.05,20.0,2107085.6285935557
2,0.8,0.05,30.0,2114848.4224363007
3,0.8,0.05,40.0,2114990.2633080925
4,0.8,0.05,50.0,2110129.9540562686
5,0.8,0.01,20.0,2112960.1830594996
6,0.8,0.02,20.0,2115911.2366253873
7,0.8,0.03,20.0,2111664.4797561313
8,0.8,0.04,20.0,2116271.385823294
9,0.8,0.05,20.0,2110194.4310094253
10,0.75,0.05,20.0,2114252.52526147
11,0.8,0.05,20.0,2117558.81687467
12,0.85,0.05,20.0,2110940.215563921
13,0.9,0.05,20.0,2111971.207298788
14,0.95,0.05,20.0,2112247.915152807
