,p_w,p_c,pop_size,Error
0,0.1,2.1,20,2147933.9825575976
1,0.3,2.1,20,2147927.5867227195
2,0.5,2.1,20,2144516.7656896426
3,0.7,2.1,20,2145890.700589689
4,0.9,2.1,20,2147036.683759968
5,0.5,1.3,30,2143928.8193202815
6,0.5,1.5,30,2141167.5814269446
7,0.5,1.7,30,2143510.2007339187
8,0.5,1.9,30,2143954.34499414
9,0.5,2.1,30,2145345.8625677065
10,0.5,1.5,10,2143942.557430483
11,0.5,1.5,20,2147332.499316463
12,0.5,1.5,30,2142717.505405745
13,0.5,1.5,40,2144489.6643277477
14,0.5,1.5,50,2144147.317066711
