,p_c,p_m,pop_size,Error
0,0.9,0.01,30,1592614.081932229
1,0.9,0.02,30,1587627.282610001
2,0.9,0.03,30,1588730.889550757
3,0.9,0.04,30,1591465.7318163859
4,0.9,0.05,30,1593261.3664411206
5,0.75,0.02,30,1594573.5449813977
6,0.8,0.02,30,1592588.1071238704
7,0.85,0.02,30,1593165.418206523
8,0.9,0.02,30,1589265.9505093126
9,0.95,0.02,30,1593826.5373140925
10,0.9,0.02,10,1593482.3217862588
11,0.9,0.02,20,1594282.7884448073
12,0.9,0.02,30,1591952.3512133178
13,0.9,0.02,40,1593227.6072579706
14,0.9,0.02,50,1589883.544716365
