,p_c,p_m,pop_size,Error
0,0.9,0.01,40.0,955919.8143446237
1,0.9,0.02,40.0,955516.1004771246
2,0.9,0.03,40.0,958603.0968149295
3,0.9,0.04,40.0,958784.5052582885
4,0.9,0.05,40.0,957506.3148142494
5,0.95,0.02,10.0,960213.6991759655
6,0.95,0.02,20.0,957164.2340603
7,0.95,0.02,30.0,957008.8015239879
8,0.95,0.02,40.0,957274.5661747311
9,0.95,0.02,50.0,958022.2374673351
10,0.75,0.02,30.0,959737.3037719355
11,0.8,0.02,30.0,958644.933887497
12,0.85,0.02,30.0,957470.7668943213
13,0.9,0.02,30.0,957097.5952574058
14,0.95,0.02,30.0,958249.2591761652
