,p_c,p_m,pop_size,Error
0,0.95,0.01,50,958316.8016129192
1,0.95,0.02,50,957294.1589481507
2,0.95,0.03,50,960622.8819991618
3,0.95,0.04,50,958609.0245954604
4,0.95,0.05,50,956370.9110004745
5,0.75,0.05,20,954192.7247000273
6,0.8,0.05,20,955796.2246942243
7,0.85,0.05,20,956008.5148803125
8,0.9,0.05,20,954219.8968715144
9,0.95,0.05,20,957916.464023515
10,0.75,0.05,10,952048.1390664595
11,0.75,0.05,20,960258.6074199033
12,0.75,0.05,30,955851.2410907712
13,0.75,0.05,40,954378.4332640193
14,0.75,0.05,50,958418.7028521016
