,p_w,p_c,pop_size,Error
0,0.1,1.3,10,2133308.5289677046
1,0.3,1.3,10,2135612.1383524975
2,0.5,1.3,10,2134933.240816836
3,0.7,1.3,10,2134931.0629785224
4,0.9,1.3,10,2133377.5758069847
5,0.1,1.3,10,2134960.1199673475
6,0.1,1.5,10,2132215.6433799937
7,0.1,1.7,10,2132783.1648617443
8,0.1,1.9,10,2133138.606849429
9,0.1,2.1,10,2131389.310686679
10,0.1,2.1,10,2130982.1353892162
11,0.1,2.1,20,2132312.21618546
12,0.1,2.1,30,2127841.8142814958
13,0.1,2.1,40,2128628.2894817893
14,0.1,2.1,50,2129892.221889153
