,p_w,p_c,pop_size,Error
0,0.1,1.5,40.0,961980.3007290922
1,0.3,1.5,40.0,961717.2617488755
2,0.5,1.5,40.0,961838.051706807
3,0.7,1.5,40.0,962073.109673953
4,0.9,1.5,40.0,961759.0345594427
5,0.3,1.7,10.0,962396.0041285758
6,0.3,1.7,20.0,961770.1873152412
7,0.3,1.7,30.0,961923.9557093333
8,0.3,1.7,40.0,961886.7423267969
9,0.3,1.7,50.0,961547.4712855875
10,0.3,1.3,50.0,962059.4487934064
11,0.3,1.5,50.0,962033.2363900236
12,0.3,1.7,50.0,961476.3253310138
13,0.3,1.9,50.0,961761.2889351416
14,0.3,2.1,50.0,961697.3172882593
