,p_w,p_c,pop_size,Error
0,0.1,2.1,10.0,1597279.2817203293
1,0.3,2.1,10.0,1597103.2106178163
2,0.5,2.1,10.0,1597943.6784231209
3,0.7,2.1,10.0,1597526.3238209868
4,0.9,2.1,10.0,1596807.808331147
5,0.9,1.3,10.0,1596818.012597893
6,0.9,1.3,20.0,1597050.129683688
7,0.9,1.3,30.0,1597086.5136688424
8,0.9,1.3,40.0,1597045.9886579886
9,0.9,1.3,50.0,1596897.4262089408
10,0.9,1.3,10.0,1597648.4034845175
11,0.9,1.5,10.0,1597106.1272843124
12,0.9,1.7,10.0,1597025.309279985
13,0.9,1.9,10.0,1596267.4274588577
14,0.9,2.1,10.0,1597899.206261116
