,p_w,p_c,pop_size,Error
0,0.1,1.9,10.0,962228.0981518985
1,0.3,1.9,10.0,962078.1547197435
2,0.5,1.9,10.0,962926.2457092524
3,0.7,1.9,10.0,963322.7692731537
4,0.9,1.9,10.0,962344.6732873966
5,0.3,1.3,10.0,962008.3921521493
6,0.3,1.3,20.0,961930.5207043404
7,0.3,1.3,30.0,961936.3750577985
8,0.3,1.3,40.0,961642.2977499194
9,0.3,1.3,50.0,961449.6118634472
10,0.3,1.3,50.0,961665.9457936144
11,0.3,1.5,50.0,962171.5280136496
12,0.3,1.7,50.0,961722.5561124069
13,0.3,1.9,50.0,961865.1989377837
14,0.3,2.1,50.0,961852.6529354948
