,p_c,p_m,pop_size,Error
0,0.75,0.01,10,2071501.9614912646
1,0.75,0.02,10,2072307.4481272642
2,0.75,0.03,10,2073820.035603671
3,0.75,0.04,10,2074061.229698048
4,0.75,0.05,10,2074631.9577704228
5,0.75,0.01,30,2074007.803306767
6,0.8,0.01,30,2071211.8951401738
7,0.85,0.01,30,2074192.0622891956
8,0.9,0.01,30,2071228.190578315
9,0.95,0.01,30,2075797.588094417
10,0.8,0.01,10,2073024.1091142115
11,0.8,0.01,20,2076343.6846214803
12,0.8,0.01,30,2076358.135759962
13,0.8,0.01,40,2070298.4981325555
14,0.8,0.01,50,2070859.5746394452
