,p_c,p_m,pop_size,Error
0,0.95,0.01,10.0,2127165.2697841483
1,0.95,0.01,20.0,2126554.673875145
2,0.95,0.01,30.0,2125281.877583338
3,0.95,0.01,40.0,2125539.0099023045
4,0.95,0.01,50.0,2120864.8533420744
5,0.75,0.05,50.0,2118149.48514805
6,0.8,0.05,50.0,2125134.834339327
7,0.85,0.05,50.0,2112516.1880927966
8,0.9,0.05,50.0,2123422.174622896
9,0.95,0.05,50.0,2125107.630611315
10,0.85,0.01,50.0,2128437.1365044997
11,0.85,0.02,50.0,2123486.384657646
12,0.85,0.03,50.0,2118924.1474117
13,0.85,0.04,50.0,2125050.20759835
14,0.85,0.05,50.0,2124748.905696961
