,p_c,p_m,pop_size,Error
0,0.9,0.02,10.0,2112847.222647502
1,0.9,0.02,20.0,2110939.054727456
2,0.9,0.02,30.0,2112327.043376401
3,0.9,0.02,40.0,2105348.9533551014
4,0.9,0.02,50.0,2107830.78076218
5,0.75,0.03,40.0,2108614.434466701
6,0.8,0.03,40.0,2104190.7158668316
7,0.85,0.03,40.0,2110206.420340913
8,0.9,0.03,40.0,2107723.7199792196
9,0.95,0.03,40.0,2106445.748226468
10,0.8,0.01,40.0,2111818.4337085844
11,0.8,0.02,40.0,2104858.5684928736
12,0.8,0.03,40.0,2108802.552608034
13,0.8,0.04,40.0,2098364.2701624804
14,0.8,0.05,40.0,2105296.84101412
