,p_w,p_c,pop_size,Error
0,0.1,1.7,10.0,2125455.4506649515
1,0.3,1.7,10.0,2124287.4192714044
2,0.5,1.7,10.0,2123888.376767406
3,0.7,1.7,10.0,2124378.6821379736
4,0.9,1.7,10.0,2124053.153280417
5,0.5,2.1,10.0,2124864.4318440305
6,0.5,2.1,20.0,2123308.920694904
7,0.5,2.1,30.0,2123973.038500757
8,0.5,2.1,40.0,2123913.0742909233
9,0.5,2.1,50.0,2123607.04877677
10,0.5,1.3,20.0,2123128.1370849693
11,0.5,1.5,20.0,2124704.2735022097
12,0.5,1.7,20.0,2124536.409509409
13,0.5,1.9,20.0,2123519.6976916576
14,0.5,2.1,20.0,2123716.331367156
