,p_c,p_m,pop_size,Error
0,0.8,0.01,50,2109848.9064539485
1,0.8,0.02,50,2113610.444932171
2,0.8,0.03,50,2111021.4242130434
3,0.8,0.04,50,2104423.0140723335
4,0.8,0.05,50,2100314.03099063
5,0.75,0.05,50,2106015.7622266226
6,0.8,0.05,50,2103163.125852876
7,0.85,0.05,50,2106736.006508853
8,0.9,0.05,50,2110525.879207125
9,0.95,0.05,50,2100552.4499130347
10,0.95,0.05,10,2114782.60955697
11,0.95,0.05,20,2110035.736421372
12,0.95,0.05,30,2106941.41940303
13,0.95,0.05,40,2105323.393347149
14,0.95,0.05,50,2106963.0511172456
