,p_c,p_m,pop_size,Error
0,0.75,0.03,10.0,2100766.811505999
1,0.75,0.03,20.0,2103129.9221522077
2,0.75,0.03,30.0,2104210.5871431297
3,0.75,0.03,40.0,2099830.3463998856
4,0.75,0.03,50.0,2094364.318179867
5,0.75,0.03,50.0,2095044.113057813
6,0.8,0.03,50.0,2101179.9310057727
7,0.85,0.03,50.0,2100933.218027677
8,0.9,0.03,50.0,2102286.0657710424
9,0.95,0.03,50.0,2103740.27575481
10,0.75,0.01,50.0,2104723.9634399437
11,0.75,0.02,50.0,2107123.8613617667
12,0.75,0.03,50.0,2102792.870564095
13,0.75,0.04,50.0,2091085.1935101817
14,0.75,0.05,50.0,2101490.4546638387
