,p_c,p_m,pop_size,Error
0,0.75,0.03,10,2128478.329587463
1,0.8,0.03,10,2125550.328885879
2,0.85,0.03,10,2129213.108140751
3,0.9,0.03,10,2122913.711832656
4,0.95,0.03,10,2128796.360561736
5,0.9,0.01,50,2123705.9662247696
6,0.9,0.02,50,2120609.2283636946
7,0.9,0.03,50,2124643.6075866693
8,0.9,0.04,50,2121085.1833250355
9,0.9,0.05,50,2118291.4972852385
10,0.9,0.05,10,2120551.6398140863
11,0.9,0.05,20,2118822.517624251
12,0.9,0.05,30,2121854.0839581904
13,0.9,0.05,40,2116122.037388106
14,0.9,0.05,50,2118144.8902156954
