,p_w,p_c,pop_size,Error
0,0.1,1.9,50,1597276.3781890532
1,0.3,1.9,50,1595393.023071857
2,0.5,1.9,50,1596212.8181940825
3,0.7,1.9,50,1594829.071534882
4,0.9,1.9,50,1597878.3657655886
5,0.7,1.3,20,1594703.0569143975
6,0.7,1.5,20,1598643.8809205724
7,0.7,1.7,20,1597298.7036582786
8,0.7,1.9,20,1598277.2529226686
9,0.7,2.1,20,1598880.321301919
10,0.7,1.3,10,1596331.8533701417
11,0.7,1.3,20,1594620.3020654407
12,0.7,1.3,30,1596602.187819179
13,0.7,1.3,40,1597567.0885954048
14,0.7,1.3,50,1595181.4064808167
