,p_c,p_m,pop_size,Error
0,0.85,0.04,10.0,2135985.1699093953
1,0.85,0.04,20.0,2139298.4195835604
2,0.85,0.04,30.0,2135666.970367077
3,0.85,0.04,40.0,2137135.536042767
4,0.85,0.04,50.0,2124691.9975104746
5,0.75,0.04,50.0,2136485.07763873
6,0.8,0.04,50.0,2136625.5726309977
7,0.85,0.04,50.0,2137385.4947995227
8,0.9,0.04,50.0,2138287.3015068294
9,0.95,0.04,50.0,2129035.6565970425
10,0.95,0.01,50.0,2141813.08414584
11,0.95,0.02,50.0,2130929.2770598126
12,0.95,0.03,50.0,2135440.747300272
13,0.95,0.04,50.0,2137217.2994480957
14,0.95,0.05,50.0,2139170.985605006
