,p_c,p_m,pop_size,Error
0,0.8,0.01,30,2118446.460593501
1,0.8,0.02,30,2120420.565833556
2,0.8,0.03,30,2116186.2936480846
3,0.8,0.04,30,2119496.088254541
4,0.8,0.05,30,2115411.081306254
5,0.75,0.05,40,2111994.8122327575
6,0.8,0.05,40,2107682.9104983667
7,0.85,0.05,40,2116528.469284474
8,0.9,0.05,40,2115921.2383928555
9,0.95,0.05,40,2114584.041463041
10,0.8,0.05,10,2113624.2247111565
11,0.8,0.05,20,2116577.2470312077
12,0.8,0.05,30,2118185.2597656194
13,0.8,0.05,40,2113467.188594631
14,0.8,0.05,50,2116764.690860564
