,p_c,p_m,pop_size,Error
0,0.8,0.01,50,2114024.315427284
1,0.8,0.02,50,2110654.961085641
2,0.8,0.03,50,2111514.5373802404
3,0.8,0.04,50,2105472.1117392555
4,0.8,0.05,50,2109519.412525512
5,0.75,0.04,40,2109763.9460174
6,0.8,0.04,40,2110422.056451756
7,0.85,0.04,40,2109774.49920482
8,0.9,0.04,40,2109421.320256663
9,0.95,0.04,40,2105527.0545212277
10,0.95,0.04,10,2117152.0385791105
11,0.95,0.04,20,2107078.344581634
12,0.95,0.04,30,2106534.3208083
13,0.95,0.04,40,2107181.450076486
14,0.95,0.04,50,2108525.694161075
