,p_w,p_c,pop_size,Error
0,0.3,1.9,50.0,43596.49245608109
1,0.3,1.5,20.0,49045.10864542084
2,0.7,1.3,40.0,53858.431883427365
3,0.7,1.9,20.0,58851.6757802066
4,0.5,1.3,10.0,90461.2263328897
5,0.7,1.3,20.0,564781.9715948148
6,0.5,1.5,50.0,1202450.0094344735
7,0.5,1.5,30.0,18751.586972758603
8,0.1,2.1,30.0,32754.800645225227
9,0.5,1.7,50.0,39526.89616076614
