,p_w,p_c,pop_size,Error
0,0.1,1.3,40.0,2109761.8286590073
1,0.3,1.3,40.0,2109157.9981134497
2,0.5,1.3,40.0,2109179.338753658
3,0.7,1.3,40.0,2110174.6493904237
4,0.9,1.3,40.0,2109149.97075319
5,0.9,2.1,10.0,2109984.4385528415
6,0.9,2.1,20.0,2109424.3592991303
7,0.9,2.1,30.0,2109996.4855960095
8,0.9,2.1,40.0,2109615.2814964172
9,0.9,2.1,50.0,2109404.275175956
10,0.9,1.3,50.0,2108843.8829671554
11,0.9,1.5,50.0,2109353.1829184424
12,0.9,1.7,50.0,2109745.3075805386
13,0.9,1.9,50.0,2109554.482915046
14,0.9,2.1,50.0,2109895.2730741743
