,p_w,p_c,pop_size,Error
0,0.1,2.1,20.0,2115370.6667418354
1,0.3,2.1,20.0,2115613.1035459195
2,0.5,2.1,20.0,2116247.102045736
3,0.7,2.1,20.0,2115119.0763024455
4,0.9,2.1,20.0,2115094.1265837094
5,0.9,1.9,10.0,2116770.8556341743
6,0.9,1.9,20.0,2116234.52061239
7,0.9,1.9,30.0,2114602.9450413412
8,0.9,1.9,40.0,2115835.888821541
9,0.9,1.9,50.0,2115175.6940473737
10,0.9,1.3,30.0,2115978.243921964
11,0.9,1.5,30.0,2115878.1895032586
12,0.9,1.7,30.0,2116116.805085168
13,0.9,1.9,30.0,2115375.5259529324
14,0.9,2.1,30.0,2115815.5389518845
