,p_c,p_m,pop_size,Error
0,0.95,0.05,10.0,127043.5110691216
1,0.95,0.05,20.0,90321.13138254493
2,0.95,0.05,30.0,113597.62586152951
3,0.95,0.05,40.0,131936.83657319946
4,0.95,0.05,50.0,58615.55874961779
5,0.8,0.01,50.0,214873.22507098055
6,0.8,0.02,50.0,123433.89801505585
7,0.8,0.03,50.0,108440.22135120435
8,0.8,0.04,50.0,124761.1625077715
9,0.8,0.05,50.0,132074.55018673153
10,0.75,0.03,50.0,107177.24861135174
11,0.8,0.03,50.0,125658.09689284446
12,0.85,0.03,50.0,120408.84173040393
13,0.9,0.03,50.0,130130.38479069607
14,0.95,0.03,50.0,166811.67485191545
