,p_c,p_m,pop_size,Error
0,0.85,0.04,10.0,263119.4756068451
1,0.85,0.04,20.0,212406.90692314046
2,0.85,0.04,30.0,209633.1068672683
3,0.85,0.04,40.0,193637.1608369643
4,0.85,0.04,50.0,176020.55777695018
5,0.75,0.02,50.0,190913.74116391983
6,0.8,0.02,50.0,214766.39714967093
7,0.85,0.02,50.0,240833.0313046294
8,0.9,0.02,50.0,224636.37101258544
9,0.95,0.02,50.0,217166.77803160666
10,0.75,0.01,50.0,240501.94109364503
11,0.75,0.02,50.0,176939.70460667298
12,0.75,0.03,50.0,251183.7114280131
13,0.75,0.04,50.0,186456.29658780398
14,0.75,0.05,50.0,206645.60289480782
