,p_w,p_c,pop_size,Error
0,0.7,1.7,10.0,399313.757637838
1,0.7,1.7,20.0,397517.0275104479
2,0.7,1.7,30.0,398311.6502084372
3,0.7,1.7,40.0,396706.53040247265
4,0.7,1.7,50.0,398002.44520687975
5,0.3,1.3,40.0,397644.43832049734
6,0.3,1.5,40.0,396947.3567896752
7,0.3,1.7,40.0,396371.2936063502
8,0.3,1.9,40.0,397342.3126925651
9,0.3,2.1,40.0,397296.52158211026
10,0.1,1.7,40.0,399499.7048138264
11,0.3,1.7,40.0,396953.3224083988
12,0.5,1.7,40.0,398250.18008581386
13,0.7,1.7,40.0,396941.1949828203
14,0.9,1.7,40.0,398333.47117684147
