,p_c,p_m,pop_size,Error
0,0.95,0.01,10.0,233663.6399225044
1,0.95,0.01,20.0,235151.64289158105
2,0.95,0.01,30.0,210284.08474771408
3,0.95,0.01,40.0,168893.59197318347
4,0.95,0.01,50.0,199333.9024587556
5,0.95,0.01,40.0,225839.3191581834
6,0.95,0.02,40.0,208219.06057098802
7,0.95,0.03,40.0,163606.5145710516
8,0.95,0.04,40.0,118106.95553759343
9,0.95,0.05,40.0,138607.15391101205
10,0.75,0.04,40.0,89191.86149539397
11,0.8,0.04,40.0,143418.68210041596
12,0.85,0.04,40.0,66624.25727766303
13,0.9,0.04,40.0,80159.61724405369
14,0.95,0.04,40.0,82015.32043985512
