,p_c,p_m,pop_size,Error
0,0.9,0.01,10.0,394477.5928032277
1,0.9,0.02,10.0,395055.1423372736
2,0.9,0.03,10.0,398811.3438020614
3,0.9,0.04,10.0,395451.6057268445
4,0.9,0.05,10.0,396313.14739332494
5,0.9,0.01,10.0,396041.83618931676
6,0.9,0.01,20.0,398885.8631378358
7,0.9,0.01,30.0,396173.2786885072
8,0.9,0.01,40.0,394501.0962153047
9,0.9,0.01,50.0,395658.4733604037
10,0.75,0.01,40.0,395970.0230862633
11,0.8,0.01,40.0,394447.3837083671
12,0.85,0.01,40.0,395362.40730128577
13,0.9,0.01,40.0,396022.6297553869
14,0.95,0.01,40.0,396195.78856518556
