,p_c,p_m,pop_size,Error
0,0.75,0.01,50.0,201386.89751259494
1,0.75,0.02,50.0,112001.45841858479
2,0.75,0.03,50.0,135261.6767360879
3,0.75,0.04,50.0,147299.88718254556
4,0.75,0.05,50.0,84317.26999829608
5,0.8,0.05,10.0,128994.71063351602
6,0.8,0.05,20.0,83623.58990676339
7,0.8,0.05,30.0,118374.49945889658
8,0.8,0.05,40.0,86920.39976535607
9,0.8,0.05,50.0,76017.21065291067
10,0.75,0.05,50.0,139020.0010373583
11,0.8,0.05,50.0,85442.33554926692
12,0.85,0.05,50.0,44122.816675141126
13,0.9,0.05,50.0,51489.207106763904
14,0.95,0.05,50.0,44188.1998676446
