,p_c,p_m,pop_size,Error
0,0.85,0.02,10.0,245170.56424881675
1,0.85,0.02,20.0,210844.94785279228
2,0.85,0.02,30.0,119652.22178198586
3,0.85,0.02,40.0,153996.14020971418
4,0.85,0.02,50.0,171061.0449228578
5,0.75,0.01,30.0,195803.8011780653
6,0.75,0.02,30.0,199006.74311889132
7,0.75,0.03,30.0,139691.01625742426
8,0.75,0.04,30.0,117548.77850712344
9,0.75,0.05,30.0,72499.59191819499
10,0.75,0.05,30.0,137584.9648519288
11,0.8,0.05,30.0,143125.00436497465
12,0.85,0.05,30.0,45342.258436172466
13,0.9,0.05,30.0,63123.34091201812
14,0.95,0.05,30.0,127640.51737874992
