,p_c,p_m,pop_size,Error
0,0.75,0.02,10.0,396224.0486761125
1,0.75,0.02,20.0,394757.5130524022
2,0.75,0.02,30.0,394937.59909077676
3,0.75,0.02,40.0,394834.9346589968
4,0.75,0.02,50.0,395890.33754796855
5,0.85,0.01,20.0,394292.4148473785
6,0.85,0.02,20.0,396076.7778219993
7,0.85,0.03,20.0,397096.9890095074
8,0.85,0.04,20.0,393938.9664035277
9,0.85,0.05,20.0,394809.7321628073
10,0.75,0.04,20.0,395375.51858009683
11,0.8,0.04,20.0,393320.53909785545
12,0.85,0.04,20.0,393945.20946577523
13,0.9,0.04,20.0,395128.6895070589
14,0.95,0.04,20.0,395687.876816801
