,p_c,p_m,pop_size,Error
0,0.9,0.01,10.0,395909.5568713508
1,0.9,0.02,10.0,396080.81470450753
2,0.9,0.03,10.0,396363.92129753146
3,0.9,0.04,10.0,396767.8417799927
4,0.9,0.05,10.0,393051.2248879673
5,0.9,0.05,10.0,395301.5845275858
6,0.9,0.05,20.0,392529.70117018797
7,0.9,0.05,30.0,394569.4107396367
8,0.9,0.05,40.0,395531.0073211806
9,0.9,0.05,50.0,393880.02493824763
10,0.75,0.05,20.0,393383.4157455161
11,0.8,0.05,20.0,394135.6213250881
12,0.85,0.05,20.0,393535.98044130247
13,0.9,0.05,20.0,392652.6500751272
14,0.95,0.05,20.0,395823.29592737975
