,p_w,p_c,pop_size,Error
0,0.1,1.7,30,270486.19709336094
1,0.3,1.7,30,246950.78670489622
2,0.5,1.7,30,260063.5652423447
3,0.7,1.7,30,275159.38566250005
4,0.9,1.7,30,258781.44136070137
5,0.3,1.3,10,271691.0449525022
6,0.3,1.5,10,244563.97384490416
7,0.3,1.7,10,242975.9127412524
8,0.3,1.9,10,273215.35144113144
9,0.3,2.1,10,280588.2719644124
10,0.3,1.7,10,258764.85261466738
11,0.3,1.7,20,271617.91374796146
12,0.3,1.7,30,271320.01797777583
13,0.3,1.7,40,252414.60643725118
14,0.3,1.7,50,249174.0655586687
