,p_c,p_m,pop_size,Error
0,0.75,0.04,20.0,43656.31679816617
1,0.8,0.02,30.0,44045.19918665307
2,0.8,0.04,10.0,44285.80789081175
3,0.9,0.05,20.0,43929.634327568216
4,0.8,0.02,40.0,44056.932846434676
5,0.9,0.04,50.0,44427.50874178901
6,0.75,0.03,20.0,43713.45398580118
7,0.8,0.03,40.0,42970.6835373327
8,0.8,0.04,40.0,42541.67860429384
9,0.75,0.05,50.0,43251.01320383574
