,p_c,p_m,pop_size,Error
0,0.75,0.01,20.0,396267.7426706236
1,0.75,0.02,20.0,395191.72870133864
2,0.75,0.03,20.0,395155.7015632928
3,0.75,0.04,20.0,394198.8601512866
4,0.75,0.05,20.0,394102.4042262436
5,0.95,0.05,10.0,396427.02655725466
6,0.95,0.05,20.0,394403.1234124642
7,0.95,0.05,30.0,395073.4820641699
8,0.95,0.05,40.0,390768.63229346677
9,0.95,0.05,50.0,394355.9907878319
10,0.75,0.05,40.0,394171.66593799886
11,0.8,0.05,40.0,394103.02082478395
12,0.85,0.05,40.0,393596.72397276893
13,0.9,0.05,40.0,395291.12881942606
14,0.95,0.05,40.0,393437.03090571915
