,p_c,p_m,pop_size,Error
0,0.75,0.01,10.0,251437.84732309356
1,0.75,0.02,10.0,175326.30533723912
2,0.75,0.03,10.0,204993.12573661
3,0.75,0.04,10.0,193804.26933120436
4,0.75,0.05,10.0,214462.59890496053
5,0.85,0.02,10.0,243303.55494466433
6,0.85,0.02,20.0,252943.36702692544
7,0.85,0.02,30.0,158696.73195002927
8,0.85,0.02,40.0,194425.40307745733
9,0.85,0.02,50.0,153911.86294602387
10,0.75,0.02,50.0,184640.5570898574
11,0.8,0.02,50.0,156400.92022782846
12,0.85,0.02,50.0,172742.13006668183
13,0.9,0.02,50.0,160648.7770072744
14,0.95,0.02,50.0,171440.02202019497
