,p_c,p_m,pop_size,Error
0,0.9,0.01,50.0,393999.0588652118
1,0.9,0.02,50.0,394815.98420408077
2,0.9,0.03,50.0,395114.026601604
3,0.9,0.04,50.0,392858.35842643486
4,0.9,0.05,50.0,393981.2226745694
5,0.9,0.04,10.0,398182.01481843594
6,0.9,0.04,20.0,393963.38728841784
7,0.9,0.04,30.0,392775.48298226384
8,0.9,0.04,40.0,394735.92913965514
9,0.9,0.04,50.0,392126.6753522048
10,0.75,0.04,50.0,395129.52725179377
11,0.8,0.04,50.0,395524.52333774
12,0.85,0.04,50.0,394087.9685058241
13,0.9,0.04,50.0,392140.87556094414
14,0.95,0.04,50.0,394709.592287363
