,p_w,p_c,pop_size,Error
0,0.3,1.7,10.0,402577.9776434653
1,0.3,1.7,20.0,397311.2258590926
2,0.3,1.7,30.0,396252.90016900917
3,0.3,1.7,40.0,396228.73610349005
4,0.3,1.7,50.0,396020.6253690146
5,0.1,1.3,50.0,397863.2315499013
6,0.1,1.5,50.0,398110.4450596141
7,0.1,1.7,50.0,397060.2077295734
8,0.1,1.9,50.0,397057.1820418234
9,0.1,2.1,50.0,397044.5934050865
10,0.1,2.1,50.0,396920.33814612136
11,0.3,2.1,50.0,395970.6104512317
12,0.5,2.1,50.0,397017.0759727399
13,0.7,2.1,50.0,396683.9921642909
14,0.9,2.1,50.0,397155.32074547204
