,p_w,p_c,pop_size,Error
0,0.1,1.5,10.0,403819.4209964723
1,0.1,1.5,20.0,401352.08064332826
2,0.1,1.5,30.0,397818.1163133012
3,0.1,1.5,40.0,398696.725798806
4,0.1,1.5,50.0,398050.5459821322
5,0.9,1.3,30.0,396661.7799769397
6,0.9,1.5,30.0,398491.8642394353
7,0.9,1.7,30.0,400149.2892188463
8,0.9,1.9,30.0,397797.14458175
9,0.9,2.1,30.0,398382.5854435934
10,0.1,1.3,30.0,397316.97600126546
11,0.3,1.3,30.0,397032.12084635836
12,0.5,1.3,30.0,398820.7340463423
13,0.7,1.3,30.0,398444.0841319826
14,0.9,1.3,30.0,399448.509792843
