,p_c,p_m,pop_size,Error
0,0.95,0.01,40.0,397465.3386596678
1,0.95,0.02,40.0,396824.7970213791
2,0.95,0.03,40.0,396247.84628679417
3,0.95,0.04,40.0,395122.07547284017
4,0.95,0.05,40.0,396847.2417746056
5,0.9,0.04,10.0,396872.5388228476
6,0.9,0.04,20.0,397148.1943206194
7,0.9,0.04,30.0,396174.65190090355
8,0.9,0.04,40.0,394890.3702504235
9,0.9,0.04,50.0,394048.53763408965
10,0.75,0.04,50.0,395609.246072174
11,0.8,0.04,50.0,396635.14660226327
12,0.85,0.04,50.0,395431.628609725
13,0.9,0.04,50.0,393496.8628153899
14,0.95,0.04,50.0,394813.626431249
