,p_c,p_m,pop_size,Error
0,0.9,0.01,30.0,395654.40272936557
1,0.9,0.02,30.0,397006.4305931997
2,0.9,0.03,30.0,394837.3911902518
3,0.9,0.04,30.0,394336.03326933115
4,0.9,0.05,30.0,391199.33809250715
5,0.9,0.05,10.0,396364.63466068223
6,0.9,0.05,20.0,394139.56316079997
7,0.9,0.05,30.0,393888.00009647966
8,0.9,0.05,40.0,394848.13489115075
9,0.9,0.05,50.0,394577.07897075615
10,0.75,0.05,30.0,396591.01234488044
11,0.8,0.05,30.0,396000.202539817
12,0.85,0.05,30.0,395076.8186984714
13,0.9,0.05,30.0,395768.66560062487
14,0.95,0.05,30.0,397719.82575381966
