,p_c,p_m,pop_size,Error
0,0.85,0.01,40.0,396232.8450236327
1,0.85,0.02,40.0,394492.4327273703
2,0.85,0.03,40.0,394016.1166327583
3,0.85,0.04,40.0,391950.7865823787
4,0.85,0.05,40.0,395262.4851040593
5,0.8,0.04,10.0,395493.7648741916
6,0.8,0.04,20.0,395399.79239967733
7,0.8,0.04,30.0,397126.75481287966
8,0.8,0.04,40.0,395362.48851746245
9,0.8,0.04,50.0,393984.64361597697
10,0.75,0.04,50.0,393204.0861946403
11,0.8,0.04,50.0,392941.23602554214
12,0.85,0.04,50.0,396425.6674023765
13,0.9,0.04,50.0,395653.32197130733
14,0.95,0.04,50.0,392404.4948030681
