,p_c,p_m,pop_size,Error
0,0.95,0.04,10.0,245982.63112254452
1,0.95,0.04,20.0,196389.31666744532
2,0.95,0.04,30.0,91187.20081624648
3,0.95,0.04,40.0,89637.04399323367
4,0.95,0.04,50.0,112434.95078836131
5,0.95,0.01,40.0,177092.00170182556
6,0.95,0.02,40.0,214343.92974762953
7,0.95,0.03,40.0,153159.76600745495
8,0.95,0.04,40.0,139793.06800051942
9,0.95,0.05,40.0,90013.84592607686
10,0.75,0.05,40.0,83930.41193650378
11,0.8,0.05,40.0,90218.75482010288
12,0.85,0.05,40.0,147219.43138870248
13,0.9,0.05,40.0,143721.01818762074
14,0.95,0.05,40.0,139270.0219767887
