,p_c,p_m,pop_size,Error
0,0.75,0.01,30.0,185715.59589601285
1,0.75,0.02,30.0,210994.3457302407
2,0.75,0.03,30.0,86890.30312914721
3,0.75,0.04,30.0,62150.72338883079
4,0.75,0.05,30.0,155814.5904001169
5,0.85,0.04,10.0,172073.0794002239
6,0.85,0.04,20.0,70610.86548197834
7,0.85,0.04,30.0,89239.98326746852
8,0.85,0.04,40.0,152621.0916026677
9,0.85,0.04,50.0,139531.27380231663
10,0.75,0.04,20.0,205554.99670304477
11,0.8,0.04,20.0,184038.57207740133
12,0.85,0.04,20.0,126798.80050777266
13,0.9,0.04,20.0,170252.7438761258
14,0.95,0.04,20.0,108954.86588736445
