,p_c,p_m,pop_size,Error
0,0.9,0.05,10.0,395914.84242280474
1,0.9,0.05,20.0,398141.8997762418
2,0.9,0.05,30.0,395232.4313863996
3,0.9,0.05,40.0,394760.68946642644
4,0.9,0.05,50.0,393965.6100163421
5,0.9,0.01,50.0,397163.2733308659
6,0.9,0.02,50.0,396099.2211951533
7,0.9,0.03,50.0,393945.5022480157
8,0.9,0.04,50.0,393927.09044347843
9,0.9,0.05,50.0,393367.9546257853
10,0.75,0.05,50.0,393510.26028757094
11,0.8,0.05,50.0,394148.872766187
12,0.85,0.05,50.0,394016.1784715926
13,0.9,0.05,50.0,392862.3465605205
14,0.95,0.05,50.0,392713.019701437
