,p_w,p_c,pop_size,Error
0,0.1,1.5,40,254592.89957372786
1,0.3,1.5,40,249461.20712830633
2,0.5,1.5,40,274252.61312349513
3,0.7,1.5,40,267262.6730411616
4,0.9,1.5,40,250114.72484904926
5,0.3,1.3,30,260329.20741899754
6,0.3,1.5,30,266000.87477037817
7,0.3,1.7,30,258781.62751512314
8,0.3,1.9,30,238716.47131693352
9,0.3,2.1,30,248061.9502160892
10,0.3,1.9,10,285292.9557524206
11,0.3,1.9,20,271680.622977792
12,0.3,1.9,30,254614.50185268588
13,0.3,1.9,40,255066.37808778847
14,0.3,1.9,50,258482.66924878952
