,p_w,p_c,pop_size,Error
0,0.5,1.3,10.0,401271.3103933501
1,0.5,1.3,20.0,399608.77485336544
2,0.5,1.3,30.0,396463.8917576791
3,0.5,1.3,40.0,397994.2601296174
4,0.5,1.3,50.0,397693.3579176051
5,0.7,1.3,30.0,396522.89800622826
6,0.7,1.5,30.0,398242.1942696413
7,0.7,1.7,30.0,399900.5169466463
8,0.7,1.9,30.0,396745.70301374857
9,0.7,2.1,30.0,399555.3556573671
10,0.1,1.3,30.0,397835.47631063114
11,0.3,1.3,30.0,398704.02159449685
12,0.5,1.3,30.0,399499.9853940276
13,0.7,1.3,30.0,398687.68563830765
14,0.9,1.3,30.0,398080.3114368221
