,p_w,p_c,pop_size,Error
0,0.1,1.9,30.0,289423.8529705589
1,0.3,1.9,30.0,301097.6520546937
2,0.5,1.9,30.0,301223.0659800788
3,0.7,1.9,30.0,301596.44091008516
4,0.9,1.9,30.0,294614.4483031327
5,0.1,1.9,10.0,293264.69272239227
6,0.1,1.9,20.0,289082.1427379987
7,0.1,1.9,30.0,300484.92541538464
8,0.1,1.9,40.0,292740.3250474046
9,0.1,1.9,50.0,286709.94477376976
10,0.1,1.3,50.0,287843.8869337354
11,0.1,1.5,50.0,289923.67352632614
12,0.1,1.7,50.0,302540.85492971604
13,0.1,1.9,50.0,280665.2203327413
14,0.1,2.1,50.0,282660.93873598066
