,p_c,p_m,pop_size,Error
0,0.9,0.03,10.0,238154.53296856952
1,0.9,0.03,20.0,179076.321634075
2,0.9,0.03,30.0,260062.14108043612
3,0.9,0.03,40.0,175398.2909818817
4,0.9,0.03,50.0,228891.036274176
5,0.75,0.01,40.0,253269.76742949686
6,0.8,0.01,40.0,201568.1296642755
7,0.85,0.01,40.0,270216.75134318916
8,0.9,0.01,40.0,228467.6962067491
9,0.95,0.01,40.0,253525.7790229505
10,0.8,0.01,40.0,232146.47745944408
11,0.8,0.02,40.0,251939.34353089175
12,0.8,0.03,40.0,180350.84625718763
13,0.8,0.04,40.0,216634.9755506377
14,0.8,0.05,40.0,155509.36187155833
